0,1,2,3,4,5,6,7
3.0,0.7661789409071011,0.6553945281840171,0.39644336809238834,0.8697348674337169,1.0,1.0,1.0
2.0,0.40764768823111847,0.18576703134761088,0.6385024918439645,0.0881240620310155,0.0,1.0,1.0
1.0,0.8895422399104952,0.4046697047846354,0.8978143826431559,0.32604302151075537,1.0,0.0,1.0
0.0,0.5059357796182758,0.43386487049288,0.09701178872365551,0.38457228614307154,1.0,1.0,1.0
2.0,0.19226519978135972,0.624973970430409,0.2761643616276044,0.8404202101050525,1.0,1.0,1.0
1.0,0.44627927374932075,0.055424962757692736,0.7342933770990533,0.3387693846923462,1.0,1.0,1.0
2.0,0.2130400282983912,0.025619103301350334,0.7543682324920441,0.511215607803902,1.0,1.0,1.0
2.0,0.48449050491340423,0.8310720979032181,0.7818685827512358,0.09532766383191596,0.0,1.0,1.0
2.0,0.969395161903451,0.09495787214275417,0.7138682625142605,0.7797698849424712,0.0,1.0,1.0
2.0,0.5275002981094659,0.25679171538868156,0.472459620118888,0.5075137568784392,1.0,1.0,1.0
2.0,0.2504027478890249,0.9932683528488363,0.8921601985469247,0.23243621810905454,1.0,1.0,1.0
3.0,0.9014978300031772,0.7274984382258246,0.6264035386185777,0.5169784892446223,1.0,1.0,1.0
0.0,0.0771843420904156,0.480684057088853,0.14972079338710645,0.080120060030015,1.0,1.0,0.0
2.0,0.7406817783490098,0.8987409697416265,0.5458839541260533,0.5301050525262632,1.0,1.0,1.0
2.0,0.13083244167258218,0.4062715244517773,0.5203350479354723,0.6602901450725362,0.0,1.0,1.0
1.0,0.34730052875415857,0.7190148008137245,0.16388127214138462,0.5164182091045523,1.0,1.0,1.0
0.0,0.3996567539600542,0.2832577808390332,0.06058483277625443,0.48652326163081544,1.0,1.0,0.0
1.0,0.09057685982292697,0.7492151083631006,0.8149830874847387,0.9378489244622311,0.0,0.0,1.0
1.0,0.007631402250906533,0.14119439683480434,0.41578768288533513,0.9339869934967484,1.0,1.0,0.0
2.0,0.6159575796232377,0.2477754729372567,0.4404259151772311,0.5339469734867434,1.0,1.0,0.0
0.0,0.9166657996816432,0.040628153582469684,0.05801292956788023,0.9844522261130566,1.0,1.0,1.0
